广东频道,#genre#
哈哈炫动,http://192.168.1.14:8124/udp/239.77.0.81:5146
哈哈炫动,http://192.168.1.14:8124/udp/239.77.1.139:5146
优漫卡通,http://192.168.1.14:8124/udp/239.77.0.222:5146
优漫卡通,http://192.168.1.14:8124/udp/239.77.1.79:5146 
金鹰卡通,http://192.168.1.14:8124/udp/239.77.0.164:5146
金鹰卡通,http://192.168.1.14:8124/udp/239.77.0.80:5146
金鹰卡通,http://192.168.1.14:8124/udp/239.77.1.52:5146
嘉佳卡通,http://192.168.1.14:8124/udp/239.77.0.179:5146
嘉佳卡通,http://192.168.1.14:8124/udp/239.77.0.13:5146
嘉佳卡通,http://192.168.1.14:8124/udp/239.77.1.15:5146
深圳少儿,http://192.168.1.14:8124/udp/239.77.1.244:5146
央视频道,#genre#
CCTV1,http://192.168.1.14:8124/udp/239.77.1.17:5146
CCTV1,http://192.168.1.14:8124/udp/239.77.1.144:5146
CCTV1,http://192.168.1.14:8124/udp/239.77.0.86:5146
CCTV1,http://192.168.1.14:8124/udp/239.77.0.129:5146
CCTV2,http://192.168.1.14:8124/udp/239.77.1.158:5146
CCTV2,http://192.168.1.14:8124/udp/239.253.43.17:5146
CCTV2,http://192.168.1.14:8124/udp/239.77.0.137:5146
CCTV3,http://192.168.1.14:8124/udp/239.77.0.169:5146
CCTV3,http://192.168.1.14:8124/udp/239.77.0.175:5146
CCTV4,http://192.168.1.14:8124/udp/239.77.1.163:5146
CCTV4,http://192.168.1.14:8124/udp/239.77.1.166:5146
CCTV4,http://192.168.1.14:8124/udp/239.77.0.78:5146
CCTV5,http://192.168.1.14:8124/udp/239.77.0.170:5146
CCTV5,http://192.168.1.14:8124/udp/239.77.0.177:5146
CCTV5+,http://192.168.1.14:8124/udp/239.77.0.87:5146
CCTV5+,http://192.168.1.14:8124/udp/239.77.1.31:5146
CCTV6,http://192.168.1.14:8124/udp/239.77.0.171:5146
CCTV6,http://192.168.1.14:8124/udp/239.77.0.178:5146
CCTV7,http://192.168.1.14:8124/udp/239.77.1.159:5146
CCTV7,http://192.168.1.14:8124/udp/239.77.1.167:5146
CCTV7,http://192.168.1.14:8124/udp/239.77.0.138:5146
CCTV8,http://192.168.1.14:8124/udp/239.77.0.172:5146
CCTV8,http://192.168.1.14:8124/udp/239.77.0.181:5146
CCTV9,http://192.168.1.14:8124/udp/239.77.1.160:5146
CCTV9,http://192.168.1.14:8124/udp/239.77.1.168:5146
CCTV9,http://192.168.1.14:8124/udp/239.77.0.135:5146
CCTV10,http://192.168.1.14:8124/udp/239.77.1.113:5146
CCTV10,http://192.168.1.14:8124/udp/239.77.1.169:5146
CCTV10,http://192.168.1.14:8124/udp/239.77.0.134:5146
CCTV11,http://192.168.1.14:8124/udp/239.77.0.40:5146
CCTV11,http://192.168.1.14:8124/udp/239.77.1.42:5146
CCTV11,http://192.168.1.14:8124/udp/239.77.1.238:5146
CCTV12,http://192.168.1.14:8124/udp/239.77.1.109:5146
CCTV12,http://192.168.1.14:8124/udp/239.77.1.170:5146
CCTV12,http://192.168.1.14:8124/udp/239.77.0.136:5146
CCTV13,http://192.168.1.14:8124/udp/239.77.0.188:5146
CCTV13,http://192.168.1.14:8124/udp/239.253.43.196:5146
CCTV14,http://192.168.1.14:8124/udp/239.77.1.161:5146
CCTV14,http://192.168.1.14:8124/udp/239.77.1.171:5146
CCTV14,http://192.168.1.14:8124/udp/239.77.0.133:5146
CCTV15,http://192.168.1.14:8124/udp/239.77.0.44:5146
CCTV15,http://192.168.1.14:8124/udp/239.77.1.11:5146
CCTV15,http://192.168.1.14:8124/udp/239.77.1.239:5146
CCTV16,http://192.168.1.14:8124/udp/239.77.0.165:5146
CCTV16,http://192.168.1.14:8124/udp/239.77.1.98:5146
CCTV16,http://192.168.1.14:8124/udp/239.77.1.76:5146
CCTV17,http://192.168.1.14:8124/udp/239.77.1.121:5146
CCTV17,http://192.168.1.14:8124/udp/239.77.0.198:5146
兵器科技,http://192.168.1.14:8124/udp/239.253.43.18:5146
兵器科技,http://192.168.1.14:8124/udp/239.253.43.9:5146
